id,EAP,HPL,MWS
id04204,0.121070,0.834820,0.044110
id22016,0.843102,0.099773,0.057125
id06480,0.173796,0.704023,0.122181
id08718,0.016578,0.011504,0.971918
id05251,0.007150,0.981832,0.011018
id03359,0.811749,0.165714,0.022538
id16117,0.077868,0.008985,0.913147
id17000,0.043918,0.949896,0.006187
id01730,0.127714,0.854482,0.017804
id00630,0.296249,0.640894,0.062858
id18175,0.074958,0.009139,0.915903
id00907,0.926934,0.029671,0.043395
id18251,0.066342,0.916606,0.017053
id25861,0.577118,0.299837,0.123045
id00398,0.505911,0.165330,0.328759
id27573,0.970945,0.003091,0.025964
id10022,0.038565,0.824733,0.136702
id15901,0.115880,0.012051,0.872069
id00451,0.153340,0.022653,0.824006
id23129,0.044638,0.897307,0.058055
id26498,0.220663,0.723481,0.055856
id14741,0.825137,0.105091,0.069772
id18453,0.108882,0.104069,0.787049
id08309,0.841380,0.084273,0.074348
id00320,0.999554,0.000143,0.000303
id07688,0.286078,0.058345,0.655576
id01556,0.055276,0.012997,0.931727
id00178,0.596631,0.030581,0.372787
id18902,0.213107,0.112529,0.674364
id27002,0.227823,0.651095,0.121081
id21418,0.985343,0.011393,0.003264
id23018,0.612078,0.081439,0.306483
id07032,0.362053,0.379860,0.258087
id16195,0.502728,0.103819,0.393453
id11202,0.051213,0.895642,0.053145
id09578,0.482323,0.116689,0.400987
id26984,0.664453,0.039590,0.295957
id19856,0.047807,0.921718,0.030475
id12086,0.407492,0.109777,0.482731
id12052,0.088392,0.046529,0.865079
id17728,0.104461,0.026745,0.868794
id24608,0.874281,0.043164,0.082554
id21097,0.193840,0.037176,0.768985
id20179,0.014866,0.000683,0.984451
id15144,0.397882,0.443536,0.158582
id00206,0.904388,0.039659,0.055953
id22285,0.051989,0.012704,0.935307
id06417,0.111071,0.432430,0.456499
id00215,0.075834,0.916905,0.007261
id04201,0.688596,0.038398,0.273006
id21771,0.977647,0.013773,0.008580
id12451,0.153623,0.482382,0.363996
id14250,0.036301,0.840789,0.122911
id03433,0.040978,0.910095,0.048927
id03303,0.221059,0.014725,0.764217
id25901,0.199438,0.649066,0.151496
id06945,0.235182,0.051870,0.712948
id05664,0.349532,0.424422,0.226046
id05741,0.981749,0.004493,0.013757
id10652,0.235696,0.245735,0.518569
id16300,0.906847,0.053122,0.040031
id12319,0.584834,0.217493,0.197673
id07500,0.298305,0.696634,0.005061
id12478,0.243547,0.394739,0.361714
id03076,0.130312,0.006011,0.863676
id00969,0.348517,0.587178,0.064305
id23636,0.060325,0.903000,0.036675
id09791,0.272982,0.092117,0.634901
id05680,0.074384,0.190802,0.734815
id03672,0.135878,0.673295,0.190828
id04286,0.038529,0.883958,0.077513
id23883,0.031789,0.455831,0.512380
id11914,0.515175,0.108412,0.376413
id20974,0.067683,0.880391,0.051925
id26125,0.018393,0.015268,0.966339
id15543,0.490039,0.030238,0.479723
id19471,0.998268,0.000549,0.001183
id11503,0.576641,0.216025,0.207334
id09321,0.020061,0.930123,0.049816
id25560,0.005733,0.006443,0.987824
id06726,0.487228,0.197941,0.314832
id05709,0.869622,0.046029,0.084349
id09788,0.145021,0.529579,0.325399
id05289,0.998345,0.001213,0.000441
id11815,0.054038,0.915246,0.030716
id22422,0.595613,0.214466,0.189921
id25954,0.779117,0.016543,0.204340
id13601,0.453718,0.504320,0.041962
id05677,0.765745,0.008911,0.225344
id10498,0.054894,0.935099,0.010006
id02665,0.152590,0.761549,0.085861
id10114,0.107836,0.696458,0.195706
id26314,0.541279,0.307626,0.151095
id21240,0.345721,0.292829,0.361450
id15569,0.816939,0.085286,0.097775
id25928,0.173917,0.166664,0.659419
id22706,0.190220,0.803892,0.005887
id20877,0.036967,0.834219,0.128814
id04318,0.637846,0.065393,0.296762
id18299,0.093874,0.870002,0.036125
id08126,0.174970,0.013779,0.811251
id14293,0.388720,0.017559,0.593721
id12759,0.983001,0.011254,0.005744
id11983,0.805878,0.069533,0.124589
id05580,0.392696,0.481840,0.125464
id25846,0.384230,0.257433,0.358337
id01939,0.334483,0.083545,0.581972
id26327,0.179714,0.399146,0.421140
id11068,0.068072,0.046551,0.885377
id08404,0.814121,0.031741,0.154138
id27189,0.369766,0.600456,0.029778
id15119,0.121608,0.739592,0.138800
id26525,0.942631,0.020234,0.037135
id03618,0.796976,0.138897,0.064127
id27220,0.988764,0.006523,0.004713
id18777,0.098900,0.024016,0.877085
id20213,0.840789,0.098148,0.061062
id20403,0.805701,0.166453,0.027846
id03777,0.355149,0.051195,0.593656
id10595,0.031108,0.938350,0.030541
id13816,0.267436,0.031122,0.701442
id05667,0.023975,0.111422,0.864604
id24629,0.509714,0.122206,0.368080
id20398,0.327181,0.202697,0.470122
id14108,0.007368,0.010169,0.982463
id06196,0.009553,0.986130,0.004318
id02800,0.344387,0.378378,0.277236
id18732,0.056203,0.902958,0.040839
id11915,0.067769,0.738771,0.193460
id09739,0.475028,0.065103,0.459869
id24672,0.892260,0.093756,0.013984
id00414,0.013717,0.056207,0.930076
id16307,0.908176,0.042497,0.049327
id14043,0.107295,0.050620,0.842085
id00517,0.001891,0.001686,0.996422
id09744,0.977106,0.020556,0.002338
id19257,0.899954,0.057726,0.042320
id15437,0.204451,0.737291,0.058258
id16352,0.075240,0.024826,0.899933
id18849,0.413918,0.289824,0.296258
id19434,0.001311,0.997552,0.001136
id17928,0.195059,0.075984,0.728957
id16896,0.086918,0.003224,0.909859
id02135,0.580219,0.199962,0.219819
id15075,0.867077,0.077730,0.055193
id27486,0.007133,0.989479,0.003388
id19422,0.914729,0.055403,0.029868
id09603,0.052617,0.880331,0.067053
id02133,0.068417,0.784822,0.146760
id03441,0.382679,0.122448,0.494873
id02398,0.018918,0.977469,0.003613
id05152,0.105522,0.012429,0.882048
id17838,0.065959,0.020607,0.913434
id25060,0.988626,0.007904,0.003470
id09998,0.068691,0.056427,0.874882
id01828,0.055733,0.864577,0.079689
id25377,0.148088,0.051701,0.800212
id22175,0.109080,0.852762,0.038158
id02974,0.031076,0.021572,0.947352
id26955,0.990062,0.007260,0.002678
id21091,0.853064,0.087649,0.059287
id12802,0.837636,0.126387,0.035977
id07432,0.007455,0.987859,0.004686
id18749,0.471178,0.262841,0.265980
id15030,0.092840,0.177462,0.729699
id17155,0.055939,0.917762,0.026299
id08128,0.034503,0.785251,0.180246
id25706,0.013186,0.891030,0.095784
id15645,0.546264,0.396352,0.057384
id04943,0.818408,0.088272,0.093320
id27566,0.054148,0.024699,0.921153
id11765,0.275748,0.349243,0.375009
id13783,0.321669,0.425686,0.252646
id00492,0.036770,0.064918,0.898312
id27636,0.071010,0.016633,0.912356
id04273,0.680362,0.172437,0.147201
id02537,0.197126,0.374466,0.428408
id24349,0.839027,0.137818,0.023154
id00023,0.008005,0.971546,0.020450
id23025,0.308836,0.684893,0.006271
id08722,0.597893,0.206738,0.195370
id02420,0.960517,0.036363,0.003120
id10811,0.870266,0.081968,0.047766
id04019,0.015318,0.006759,0.977923
id18334,0.957808,0.037301,0.004890
id16781,0.351257,0.604592,0.044151
id08773,0.407132,0.577056,0.015812
id19214,0.639456,0.232824,0.127720
id09589,0.002819,0.979360,0.017821
id24246,0.441530,0.059215,0.499256
id23577,0.238166,0.749960,0.011874
id09305,0.525878,0.129083,0.345039
id16460,0.230841,0.024388,0.744771
id21115,0.297099,0.452684,0.250217
id25996,0.514716,0.135123,0.350161
id02551,0.020200,0.024086,0.955714
id19352,0.051447,0.001325,0.947227
id03806,0.239266,0.099934,0.660800
id26544,0.701237,0.197487,0.101276
id18761,0.729326,0.144140,0.126534
id24148,0.642435,0.326748,0.030817
id16095,0.087161,0.793870,0.118969
id18442,0.674018,0.172672,0.153309
id22596,0.002955,0.000560,0.996485
id23002,0.036244,0.018932,0.944824
id04797,0.961693,0.017894,0.020413
id06610,0.267157,0.027943,0.704901
id16173,0.212229,0.626973,0.160798
id18292,0.395325,0.076089,0.528586
id27328,0.962732,0.011000,0.026268
id01695,0.056006,0.927213,0.016781
id05761,0.434098,0.010423,0.555479
id16354,0.940188,0.020410,0.039402
id12207,0.055720,0.491693,0.452587
id05665,0.218470,0.009552,0.771978
id01911,0.885419,0.095017,0.019564
id19153,0.043804,0.020820,0.935377
id10295,0.596627,0.308346,0.095027
id23038,0.669105,0.261741,0.069153
id23783,0.440164,0.547980,0.011856
id27879,0.851346,0.115960,0.032694
id19190,0.019303,0.979265,0.001432
id05065,0.934856,0.033419,0.031725
id21296,0.041147,0.859853,0.099000
id13262,0.239823,0.388716,0.371462
id10333,0.941123,0.010264,0.048612
id16677,0.167217,0.466626,0.366158
id01392,0.319566,0.030621,0.649812
id27874,0.326854,0.289505,0.383641
id02294,0.003437,0.986540,0.010023
id18298,0.027513,0.139049,0.833438
id06997,0.882106,0.042309,0.075585
id05243,0.173861,0.274944,0.551196
id00860,0.063810,0.789420,0.146770
id26681,0.992709,0.006105,0.001186
id06020,0.004716,0.000129,0.995155
id27683,0.897494,0.045531,0.056975
id17655,0.051769,0.938467,0.009764
id08817,0.046094,0.102516,0.851389
id11512,0.016524,0.026922,0.956554
id00478,0.108466,0.035978,0.855557
id02116,0.896059,0.051755,0.052187
id06746,0.970478,0.016448,0.013075
id03863,0.197964,0.770779,0.031257
id01802,0.153485,0.775164,0.071350
id11682,0.590512,0.009952,0.399535
id04033,0.056345,0.700180,0.243475
id09286,0.176113,0.502699,0.321188
id12904,0.994982,0.004860,0.000158
id07420,0.033677,0.019517,0.946806
id22398,0.003412,0.982721,0.013868
id00424,0.165863,0.074287,0.759850
id20960,0.891943,0.077548,0.030509
id10267,0.396589,0.377748,0.225663
id19330,0.275817,0.008102,0.716080
id00994,0.044938,0.927966,0.027096
id10785,0.782672,0.074381,0.142947
id00955,0.017682,0.964699,0.017619
id09757,0.016966,0.979914,0.003120
id10030,0.199598,0.074259,0.726142
id22952,0.099906,0.114510,0.785584
id21955,0.006321,0.007962,0.985717
id07674,0.845374,0.054796,0.099830
id13760,0.057233,0.927984,0.014783
id18166,0.506200,0.074766,0.419034
id23498,0.985290,0.011639,0.003071
id05296,0.986411,0.002287,0.011302
id26709,0.811730,0.091720,0.096550
id02853,0.881908,0.091412,0.026681
id06800,0.208106,0.217545,0.574349
id14758,0.254137,0.629466,0.116397
id12356,0.935294,0.048217,0.016488
id21492,0.700526,0.230982,0.068491
id27540,0.265598,0.004042,0.730360
id07376,0.096615,0.804636,0.098749
id15201,0.618410,0.345143,0.036446
id23388,0.085562,0.854293,0.060144
id13923,0.092786,0.749102,0.158112
id00794,0.053482,0.941743,0.004775
id23910,0.259962,0.197618,0.542421
id02556,0.074145,0.121574,0.804282
id22151,0.007548,0.986502,0.005950
id11698,0.032719,0.899034,0.068247
id11627,0.611468,0.085530,0.303002
id06340,0.998574,0.000827,0.000600
id05123,0.564870,0.252378,0.182751
id26620,0.034890,0.008605,0.956505
id04002,0.062517,0.305345,0.632139
id26554,0.561635,0.125845,0.312519
id18012,0.121567,0.090482,0.787951
id12964,0.169825,0.028347,0.801828
id18965,0.068495,0.739875,0.191629
id19082,0.087766,0.035669,0.876565
id26742,0.050714,0.007758,0.941529
id15442,0.017835,0.968166,0.013998
id16647,0.433532,0.157260,0.409207
id11544,0.295372,0.068800,0.635828
id20581,0.411207,0.123020,0.465773
id13192,0.277805,0.494146,0.228049
id15814,0.212461,0.131101,0.656439
id26279,0.207685,0.776852,0.015463
id00240,0.929048,0.035971,0.034981
id22836,0.984620,0.009889,0.005491
id15085,0.013572,0.832446,0.153982
id17495,0.507318,0.006988,0.485694
id26762,0.545604,0.248814,0.205581
id13685,0.985951,0.002376,0.011674
id16560,0.008357,0.986401,0.005242
id17184,0.006274,0.975442,0.018284
id21635,0.992412,0.004669,0.002919
id26751,0.145385,0.641554,0.213061
id12351,0.889233,0.040449,0.070318
id14872,0.454972,0.221900,0.323128
id18372,0.729676,0.245648,0.024676
id26851,0.461540,0.323404,0.215056
id22659,0.503388,0.484644,0.011968
id04102,0.006814,0.002605,0.990581
id02353,0.163783,0.744709,0.091508
id26721,0.963849,0.030126,0.006026
id11171,0.778071,0.131869,0.090060
id13562,0.363191,0.378539,0.258269
id26425,0.753804,0.036014,0.210183
id26394,0.389148,0.133355,0.477497
id22187,0.126678,0.799787,0.073536
id00422,0.959766,0.004666,0.035568
id22667,0.002848,0.996520,0.000632
id00911,0.676041,0.189368,0.134591
id17291,0.136036,0.087200,0.776763
id01915,0.423313,0.089907,0.486780
id01434,0.028386,0.021686,0.949928
id01584,0.762212,0.062273,0.175515
id09266,0.919349,0.022922,0.057729
id17494,0.004716,0.990852,0.004433
id24919,0.063634,0.365564,0.570803
id21043,0.164762,0.004190,0.831047
id17796,0.025570,0.960079,0.014351
id02166,0.456410,0.021431,0.522159
id17503,0.825926,0.013233,0.160841
id21203,0.182835,0.159215,0.657950
id25626,0.992121,0.003675,0.004204
id09836,0.991028,0.006130,0.002842
id24202,0.128150,0.165070,0.706780
id27260,0.489498,0.335772,0.174731
id23167,0.074023,0.030698,0.895279
id10393,0.044229,0.923265,0.032506
id01171,0.353443,0.592025,0.054532
id06380,0.936089,0.037546,0.026365
id22686,0.308959,0.024014,0.667027
id26250,0.211510,0.024561,0.763929
id09315,0.290817,0.604864,0.104319
id00886,0.168011,0.514167,0.317822
id03101,0.613977,0.098947,0.287076
id12367,0.448170,0.123128,0.428702
id10770,0.372575,0.041730,0.585696
id14949,0.027649,0.964559,0.007792
id14141,0.573597,0.381908,0.044495
id25417,0.264296,0.660839,0.074865
id26873,0.419930,0.052089,0.527982
id10818,0.236732,0.026978,0.736290
id15146,0.390396,0.011557,0.598047
id23328,0.801048,0.123713,0.075239
id16765,0.300039,0.415876,0.284085
id24383,0.928742,0.009507,0.061751
id21304,0.699811,0.089080,0.211110
id12551,0.033474,0.956467,0.010059
id23274,0.092704,0.081977,0.825319
id08117,0.410280,0.090853,0.498867
id23961,0.910596,0.051231,0.038172
id13865,0.044739,0.928987,0.026274
id22807,0.127521,0.042754,0.829725
id08951,0.136515,0.163452,0.700033
id18684,0.974969,0.018866,0.006165
id25179,0.127612,0.496259,0.376129
id27033,0.847701,0.025111,0.127187
id13977,0.247654,0.601010,0.151336
id19337,0.013043,0.864139,0.122818
id25764,0.176352,0.726272,0.097377
id16106,0.325664,0.144323,0.530013
id05468,0.029861,0.012460,0.957678
id05241,0.923652,0.014096,0.062252
id10215,0.522579,0.187702,0.289719
id23457,0.011620,0.031953,0.956427
id02200,0.893787,0.084956,0.021257
id13714,0.167078,0.796047,0.036876
id20332,0.002832,0.002227,0.994941
id18573,0.207660,0.175013,0.617327
id08569,0.929915,0.002393,0.067692
id22767,0.792710,0.170127,0.037164
id25390,0.149767,0.685430,0.164803
id09288,0.921154,0.044412,0.034434
id12381,0.970859,0.013988,0.015153
id02895,0.150980,0.090199,0.758821
id25270,0.026899,0.002512,0.970589
id14248,0.173341,0.139878,0.686781
id12831,0.641386,0.022488,0.336125
id18305,0.693482,0.029507,0.277012
id07805,0.976455,0.016098,0.007447
id14027,0.129071,0.084693,0.786236
id02760,0.116937,0.174189,0.708874
id24362,0.881744,0.035344,0.082912
id17065,0.192568,0.794415,0.013017
id26583,0.022726,0.780930,0.196343
id19664,0.984493,0.012848,0.002659
id25145,0.799630,0.019014,0.181356
id17858,0.101022,0.882936,0.016042
id05148,0.314887,0.482337,0.202776
id22928,0.627516,0.249051,0.123433
id21549,0.205237,0.013098,0.781665
id12649,0.173458,0.810412,0.016130
id21597,0.427427,0.152676,0.419897
id27945,0.729681,0.164336,0.105983
id00243,0.905322,0.007532,0.087146
id02745,0.215234,0.108196,0.676571
id23550,0.111545,0.021039,0.867416
id13023,0.237858,0.003995,0.758147
id24796,0.323380,0.024448,0.652172
id12284,0.129516,0.840317,0.030167
id02664,0.000765,0.974195,0.025040
id23767,0.777460,0.171837,0.050703
id05859,0.032587,0.783517,0.183896
id14350,0.078469,0.826826,0.094705
id01191,0.511876,0.412945,0.075179
id17034,0.388398,0.106343,0.505260
id25292,0.899336,0.095027,0.005637
id22121,0.988545,0.006410,0.005045
id20872,0.994127,0.002556,0.003317
id17720,0.110984,0.873647,0.015369
id22658,0.079112,0.910899,0.009990
id09567,0.612380,0.277917,0.109703
id16445,0.944628,0.029676,0.025696
id08349,0.261544,0.689634,0.048822
id27437,0.176288,0.265113,0.558600
id03812,0.976169,0.016606,0.007225
id22304,0.891602,0.054632,0.053766
id04449,0.401488,0.436960,0.161552
id15605,0.470468,0.179607,0.349924
id01768,0.212904,0.268916,0.518180
id20019,0.609179,0.236173,0.154648
id09593,0.110550,0.267632,0.621818
id23179,0.523479,0.015286,0.461235
id21279,0.755153,0.081024,0.163823
id06711,0.192547,0.101787,0.705665
id14243,0.016572,0.965417,0.018011
id04839,0.022539,0.023245,0.954216
id17220,0.008961,0.947685,0.043355
id24177,0.471568,0.227343,0.301090
id20512,0.024343,0.023408,0.952249
id14036,0.064306,0.930411,0.005284
id25001,0.033279,0.024584,0.942137
id06175,0.022697,0.961622,0.015681
id24720,0.172021,0.604736,0.223243
id08070,0.906024,0.071287,0.022689
id18934,0.848737,0.048614,0.102649
id01338,0.958030,0.006061,0.035909
id19008,0.023125,0.955971,0.020904
id19632,0.200866,0.378004,0.421129
id26224,0.010518,0.003414,0.986068
id08219,0.765728,0.038701,0.195571
id24008,0.013668,0.003345,0.982988
id12475,0.422085,0.405896,0.172019
id05766,0.164670,0.193341,0.641989
id27386,0.003184,0.992597,0.004219
id12476,0.003118,0.995829,0.001052
id08311,0.568209,0.359509,0.072282
id04996,0.137563,0.846983,0.015454
id17350,0.421141,0.550084,0.028775
id05546,0.063122,0.926955,0.009923
id16504,0.087929,0.904563,0.007508
id05782,0.001004,0.002346,0.996650
id20560,0.878079,0.092936,0.028985
id14171,0.051134,0.189290,0.759576
id27461,0.748270,0.095748,0.155981
id03581,0.320685,0.146213,0.533103
id21847,0.260256,0.070148,0.669596
id11712,0.576555,0.086997,0.336448
id26738,0.024384,0.015331,0.960285
id13668,0.963724,0.033164,0.003111
id15114,0.988050,0.004630,0.007320
id20130,0.309514,0.257012,0.433474
id18331,0.408979,0.034761,0.556261
id24465,0.995098,0.002697,0.002206
id13539,0.744772,0.228984,0.026244
id27564,0.041906,0.779220,0.178874
id26043,0.046914,0.044069,0.909017
id04965,0.000486,0.001894,0.997619
id08645,0.024463,0.005701,0.969836
id26610,0.429680,0.229086,0.341234
id21737,0.474086,0.462151,0.063762
id25784,0.000295,0.998566,0.001139
id23030,0.711168,0.119768,0.169064
id16450,0.004780,0.970043,0.025177
id02161,0.219247,0.024234,0.756518
id25535,0.917041,0.026990,0.055969
id16566,0.621695,0.018281,0.360023
id05714,0.966182,0.016287,0.017531
id16524,0.471381,0.470304,0.058315
id23941,0.025429,0.922171,0.052401
id00831,0.022283,0.118491,0.859226
id18145,0.503341,0.126690,0.369969
id17227,0.998525,0.000418,0.001057
id09417,0.574690,0.091494,0.333816
id21307,0.609185,0.289190,0.101625
id05650,0.010753,0.987514,0.001733
id23901,0.462614,0.108793,0.428592
id05831,0.997852,0.000359,0.001790
id16708,0.141185,0.809601,0.049214
id02281,0.102299,0.314145,0.583556
id11599,0.761407,0.092079,0.146514
id18353,0.022689,0.956375,0.020936
id07413,0.846999,0.109451,0.043550
id15653,0.025986,0.958891,0.015123
id09715,0.082942,0.008143,0.908915
id05108,0.235532,0.723854,0.040614
id09537,0.431478,0.440308,0.128214
id27596,0.865811,0.101247,0.032942
id24255,0.078746,0.003021,0.918233
id05080,0.001938,0.001927,0.996136
id09484,0.950480,0.008412,0.041108
id14864,0.130967,0.015353,0.853680
id26836,0.403496,0.287782,0.308723
id07003,0.489592,0.405371,0.105037
id13750,0.000336,0.999473,0.000191
id21799,0.070158,0.489518,0.440324
id11285,0.999588,0.000165,0.000248
id04735,0.908893,0.032441,0.058666
